PMID23223431Line147|88 92|GATA2 
PMID22210327Line45|9 14|BCORL1 
PMID22035746Line7|41 43|BCR 
PMID22035746Line7|45 48|ABL1 
PMID22898539Line80|38 43|DNMT3A 
PMID21714648Line125|16 19|EZH2 
PMID21714648Line125|22 26|ASXL1 
PMID22878824Line353|134 136|CBF 
PMID21605981Line182|25 29|Gata2 
PMID21605981Line182|88 92|Gata2 
PMID21605981Line182|226 230|GATA2 
PMID25465125Line78|27 30|IDH1 
PMID25465125Line78|164 167|IDH1 
PMID25465125Line78|175 178|IDH2 
PMID23896413Line64|15 19|CSF3R 
PMID23896413Line64|95 99|CSF3R 
PMID22210327Line7|50 53|NPM1 
PMID22210327Line7|55 58|FLT3 
PMID22210327Line7|60 62|MLL 
PMID22210327Line7|64 68|CEBPA 
PMID22210327Line7|70 73|TET2 
PMID22210327Line7|75 79|ASXL1 
PMID22210327Line7|81 84|IDH1 
PMID22210327Line7|86 89|IDH2 
PMID22210327Line7|91 96|DNMT3A 
PMID22210327Line7|98 102|RUNX1 
PMID23978506Line26|15 18|TET2 
PMID23978506Line26|20 24|ASXL1 
PMID23978506Line26|26 29|IDH1 
PMID23978506Line26|31 34|IDH2 
PMID23978506Line26|36 39|EZH2 
PMID23978506Line26|41 46|DNMT3A 
PMID23978506Line26|51 53|CBL 
PMID23619563Line61|102 106|ASXL1 
PMID23619563Line61|108 112|SRSF2 
PMID23619563Line61|114 117|EZH2 
PMID23619563Line61|119 122|IDH1 
PMID23619563Line61|126 129|IDH2 
PMID19282830Line110|21 25|RUNX1 
PMID19282830Line110|137 141|RUNX1 
PMID21714648Line137|0 3|TET2 
PMID21714648Line137|104 108|ASXL1 
PMID21714648Line137|112 115|EZH2 
PMID25006131Line116|82 86|STAG2 
PMID25006131Line116|108 111|SMC3 
PMID25006131Line116|158 162|RAD21 
PMID24335498Line148|78 81|NPM1 
PMID23896413Line13|165 167|BCR 
PMID23896413Line13|169 172|ABL1 
PMID22323480Line144|7 11|U2AF1 
PMID22323480Line144|15 19|SRSF2 
PMID21605981Line223|15 19|GATA1 
PMID21605981Line223|162 166|GATA2 
PMID21605981Line223|170 172|KIT 
PMID22898539Line249|20 23|JAK2 
PMID22898539Line13|58 60|MLL 
PMID22898539Line13|35 56|mixed-lineage leukaemia 
PMID22878824Line124|11 14|IDH2 
PMID21714648Line71|58 61|FLNB 
PMID25006131Line103|12 16|STAG2 
PMID25006131Line103|18 22|RAD21 
PMID25465125Line155|64 69|SETBP1 
PMID21339759Line45|13 17|ASXL1 
PMID23054646Line70|94 99|U2AF35 
PMID23054646Line70|205 210|U2AF35 
PMID25006131Line90|0 4|STAG2 
PMID25006131Line90|53 57|RAD21 
PMID25006131Line90|61 64|SMC3 
PMID21605981Line191|0 5|Notch1 
PMID21605981Line191|9 13|Gata2 
PMID21605981Line191|81 86|NOTCH1 
PMID21605981Line191|95 99|Gata2 
PMID21605981Line191|138 142|Gata2 
PMID21605981Line216|0 4|GATA1 
PMID21605981Line216|8 12|GATA2 
PMID21339759Line33|97 101|ASXL1 
PMID23896413Line78|0 5|SETBP1 
PMID21605981Line239|125 129|GATA1 
PMID21605981Line148|23 26|FOG1 
PMID21605981Line148|103 107|GATA2 
PMID22323480Line108|105 109|SF3B1 
PMID23978506Line219|28 31|JAK2 
PMID24335498Line62|118 122|CD11b 
PMID24335498Line62|124 127|CD14 
PMID22878824Line102|28 31|FLT3 
PMID22878824Line102|60 63|FLT3 
PMID22878824Line102|139 142|FLT3 
PMID22878824Line102|156 159|FLT3 
PMID25465125Line111|28 31|EZH2 
PMID22898539Line211|107 110|PRC2 
PMID24986690Line147|89 92|CALR 
PMID23978506Line80|51 54|JAK2 
PMID19282830Line124|99 103|RUNX1 
PMID19282830Line124|163 165|RHD 
PMID23978506Line46|0 3|JAK2 
PMID23978506Line46|83 86|JAK2 
PMID23978506Line46|175 178|JAK2 
PMID23978506Line46|240 243|STAT 
PMID21714648Line82|76 80|KDM6A 
PMID23223431Line221|54 58|GATA2 
PMID10706759Line91|41 44|PTEN 
PMID10706759Line91|46 50|MMAC1 
PMID22035746Line26|69 71|BCR 
PMID22035746Line26|73 76|ABL1 
PMID20601954Line48|18 21|EZH2 
PMID25465125Line108|8 11|EZH2 
PMID25465125Line108|79 82|TET2 
PMID23978506Line262|25 28|JAK2 
PMID24986690Line9|97 100|CALR 
PMID24986690Line9|110 113|JAK2 
PMID25006131Line142|128 132|ASXL1 
PMID25006131Line142|166 170|RUNX1 
PMID25006131Line142|190 193|BCOR 
PMID22898539Line273|50 53|TET2 
PMID22898539Line273|55 59|ASXL1 
PMID22898539Line273|63 68|DNMT3A 
PMID24986690Line93|21 24|CALR 
PMID24986690Line93|56 59|JAK2 
PMID24986690Line93|95 97|MPL 
PMID20601954Line27|23 26|EZH2 
PMID21605981Line136|98 102|GATA1 
PMID22323480Line93|184 188|HCFC1 
PMID22323480Line93|196 201|SAP130 
PMID22323480Line93|210 214|SRSF6 
PMID22323480Line93|238 243|U2AF26 
PMID10706759Line71|15 18|PTEN 
PMID10706759Line71|20 24|MMAC1 
PMID25006131Line83|42 46|STAG2 
PMID25006131Line83|62 66|RAD21 
PMID21605981Line255|0 4|GATA2 
PMID25465125Line206|135 139|U2AF1 
PMID25465125Line206|141 146|U2AF35 
PMID25465125Line206|149 153|SRSF2 
PMID25465125Line206|155 158|SC35 
PMID25465125Line206|161 165|SF3B1 
PMID25465125Line206|167 173|SF3B155 
PMID25465125Line206|176 181|SAP155 
PMID25465125Line206|187 191|ZRSR2 
PMID19282830Line87|66 70|RUNX1 
PMID23978506Line84|0 2|MPL 
PMID23978506Line84|65 67|MPL 
PMID25465125Line226|44 48|SRSF2 
PMID25465125Line226|88 92|RUNX1 
PMID25465125Line226|94 97|IDH2 
PMID25465125Line226|102 106|ASXL1 
PMID21605981Line69|16 20|GATA2 
PMID25465125Line79|16 19|IDH2 
PMID25465125Line79|63 68|DNMT3A 
PMID25465125Line79|70 74|ASXL1 
PMID25465125Line79|79 83|SRSF2 
PMID25465125Line223|3 7|SRSF2 
PMID23619563Line99|66 70|ASXL1 
PMID23619563Line99|72 76|SRSF2 
PMID23619563Line99|79 82|EZH2 
PMID23619563Line99|95 99|ASXL1 
PMID23619563Line99|101 105|SRSF2 
PMID23619563Line99|109 112|IDH1 
PMID21605981Line301|50 54|GATA2 
PMID23531518Line142|14 18|ASXL1 
PMID23531518Line142|79 83|SF3B1 
PMID23531518Line142|85 108|splicing factor 3B subunit 1 
PMID23531518Line142|110 114|SRSF2 
PMID23531518Line142|116 150|serine/arginine-rich splicing factor 2 
PMID23531518Line142|152 157|U2AF35 
PMID23531518Line142|161 192|small-nuclear RNA auxiliary factor 1 
PMID21605981Line236|41 45|Gata2 
PMID21605981Line236|60 64|Gata1 
PMID21605981Line236|124 128|GATA2 
PMID21605981Line236|172 176|GATA1 
PMID21605981Line197|75 78|BMP4 
PMID21605981Line197|82 87|NOTCH1 
PMID22898539Line137|70 73|MBD3 
PMID21605981Line213|12 16|GATA2 
PMID25465125Line255|23 27|STAG2 
PMID25465125Line255|87 91|RUNX1 
PMID23223431Line23|0 31|CCAAT enhancer binding protein alpha 
PMID23223431Line23|33 37|CEBPA 
PMID22898539Line117|76 79|TET2 
PMID22898539Line117|96 99|CD34 
PMID22898539Line117|154 157|TET2 
PMID21605981Line251|39 43|GATA2 
PMID21605981Line251|101 105|GATA2 
PMID22035746Line6|51 53|BCR 
PMID22035746Line6|55 58|ABL1 
PMID21605981Line125|9 12|FOG1 
PMID21605981Line125|14 18|GATA1 
PMID22210327Line38|60 65|BCORL1 
PMID22210327Line38|116 119|BCOR 
PMID21714648Line136|68 71|TET2 
PMID21714648Line136|95 98|TET2 
PMID10706759Line98|61 63|FMS 
PMID10706759Line98|88 90|FMS 
PMID10706759Line98|110 112|FMS 
PMID22210327Line36|11 14|BCOR 
PMID22210327Line36|75 78|NPM1 
PMID22210327Line36|82 85|FLT3 
PMID22210327Line36|125 130|DNMT3A 
PMID22210327Line36|134 138|RUNX1 
PMID10706759Line48|76 82|D10S541 
PMID21714648Line14|11 15|RUNX1 
PMID21714648Line14|17 20|TP53 
PMID21714648Line14|25 28|NRAS 
PMID23978506Line45|93 96|JAK2 
PMID25465125Line244|0 4|ZRSR2 
PMID21714648Line96|22 25|EZH2 
PMID19282830Line135|89 93|RUNX1 
PMID21605981Line105|43 47|GATA1 
PMID21605981Line105|64 68|GATA1 
PMID21605981Line105|77 81|GATA2 
PMID21605981Line105|124 128|GATA2 
PMID21605981Line235|29 33|GATA2 
PMID21605981Line235|61 65|GATA1 
PMID25006131Line98|127 131|RUNX1 
PMID21605981Line56|20 24|GATA2 
PMID21605981Line56|79 83|GATA2 
PMID21605981Line56|202 206|GATA2 
PMID25465125Line176|0 3|TP53 
PMID23978506Line29|34 37|JAK2 
PMID23978506Line29|41 43|MPL 
PMID23978506Line97|80 83|JAK2 
PMID23223431Line181|76 80|GATA2 
PMID21605981Line89|0 4|GATA2 
PMID21605981Line89|64 67|ETS1 
PMID21605981Line89|69 72|BMP4 
PMID21605981Line89|74 79|NOTCH1 
PMID21605981Line89|81 84|PU.1 
PMID21605981Line89|88 91|EVI1 
PMID21605981Line89|110 113|IL-1 
PMID21605981Line89|117 124|TNFalpha 
PMID21605981Line28|0 4|GATA1 
PMID21605981Line305|0 4|GATA2 
PMID21605981Line305|167 170|eNOS 
PMID21605981Line305|172 190|von Willebrand factor 
PMID21605981Line305|192 194|KDR 
PMID21605981Line305|198 202|PECAM 
PMID21714648Line31|24 27|TP53 
PMID22878824Line143|73 78|DNMT3A 
PMID22323480Line168|25 29|RUNX1 
PMID22323480Line168|55 59|SRSF2 
PMID22323480Line168|77 81|SF3B1 
PMID23223431Line114|0 4|GATA2 
PMID22898539Line108|57 62|Dnmt3a 
PMID22210327Line22|9 12|BCOR 
PMID21605981Line254|12 16|GATA2 
PMID21605981Line254|36 39|BMP4 
PMID21605981Line254|93 96|BMP4 
PMID22323480Line131|29 33|RUNX1 
PMID10706759Line83|3 6|PTEN 
PMID10706759Line83|8 12|MMAC1 
PMID25465125Line92|35 38|BAP1 
PMID25465125Line92|133 137|ASXL1 
PMID25465125Line92|141 145|ASXL2 
PMID22210327Line53|20 23|BCOR 
PMID22210327Line53|27 32|BCORL1 
PMID24335498Line126|72 75|NPM1 
PMID24335498Line126|89 92|FLT3 
PMID21605981Line276|24 28|GATA2 
PMID21339759Line13|21 24|EZH2 
PMID21339759Line13|129 132|EZH2 
PMID23619563Line66|19 23|ASXL1 
PMID23619563Line66|27 31|SRSF2 
PMID23619563Line66|150 153|EZH2 
PMID23896413Line46|28 31|JAK2 
PMID23896413Line46|172 177|SETBP1 
PMID23896413Line46|181 185|CSF3R 
PMID23896413Line50|111 115|CSF3R 
PMID23896413Line50|117 121|GCSFR 
PMID19282830Line8|167 172|RUNX1b 
PMID23619563Line116|62 65|JAK2 
PMID23619563Line116|119 122|IL-8 
PMID19282830Line99|15 19|RUNX1 
PMID25006131Line26|40 44|SMC1A 
PMID25006131Line26|46 49|SMC3 
PMID25006131Line26|54 58|HDAC8 
PMID22210327Line8|67 70|NPM1 
PMID22210327Line8|90 94|CEBPA 
PMID22035746Line2|0 2|BCR 
PMID22035746Line2|4 7|ABL1 
PMID22898539Line93|16 21|DNMT3A 
PMID21605981Line97|0 4|GATA1 
PMID21605981Line97|8 12|GATA2 
PMID22035746Line60|9 12|TET2 
PMID24335498Line109|0 4|BAALC 
PMID23223431Line113|67 71|GATA2 
PMID25006131Line126|55 59|STAG2 
PMID25006131Line126|63 67|PDS5B 
PMID22898539Line240|19 22|BAP1 
PMID22898539Line240|25 29|ASXL1 
PMID23619563Line58|0 2|MPL 
PMID23619563Line58|79 82|IDH1 
PMID23619563Line58|86 89|IDH2 
PMID23619563Line58|145 150|DNMT3A 
PMID23619563Line58|175 179|SRSF2 
PMID23896413Line80|0 2|Set 
PMID23896413Line80|18 23|SETBP1 
PMID23896413Line80|38 40|SET 
PMID23896413Line80|70 99|suppressor protein phosphatase 2A 
PMID23896413Line80|101 104|PP2A 
PMID23054646Line33|2 7|U2AF35 
PMID23054646Line33|150 154|SRSF2 
PMID10706759Line82|0 3|PTEN 
PMID10706759Line82|5 9|MMAC1 
PMID25465125Line96|11 15|ASXL1 
PMID21339759Line59|0 3|EZH2 
PMID19282830Line141|71 75|RUNX1 
PMID23223431Line216|37 41|GATA2 
PMID21605981Line293|54 58|GATA2 
PMID24335498Line152|50 53|NPM1 
PMID22878824Line126|45 48|IDH2 
PMID24986690Line101|37 40|CALR 
PMID24986690Line101|86 89|JAK2 
PMID24335498Line124|32 35|NPM1 
PMID24335498Line124|125 128|NPM1 
PMID23978506Line5|20 23|JAK2 
PMID23978506Line5|27 29|MPL 
PMID23978506Line5|56 58|BCR 
PMID23978506Line5|60 63|ABL1 
PMID23978506Line133|96 99|JAK2 
PMID23054646Line44|49 53|SF3B1 
PMID25006131Line130|67 71|STAG2 
PMID25465125Line192|37 39|CBL 
PMID25465125Line192|111 113|Src 
PMID25465125Line192|135 137|AKT 
PMID25465125Line192|202 204|AKT 
PMID25465125Line192|238 240|CBL 
PMID25465125Line192|291 293|CBL 
PMID22878824Line432|64 98|granulocyte colony-stimulating factor 
PMID22878824Line432|100 104|G-CSF 
PMID22878824Line432|173 177|G-CSF 
PMID22878824Line432|295 299|G-CSF 
PMID22898539Line193|3 6|EZH2 
PMID22898539Line193|16 19|EZH1 
PMID23223431Line22|31 35|RUNX1 
PMID19282830Line14|46 50|RUNX1 
PMID23978506Line118|160 163|JAK2 
PMID25465125Line150|18 23|SETBP1 
PMID22035746Line53|0 2|MPL 
PMID23978506Line122|37 40|JAK2 
PMID23978506Line122|44 46|MPL 
PMID25006131Line55|31 35|STAG2 
PMID25006131Line55|37 40|SMC3 
PMID25006131Line55|45 49|RAD21 
PMID23896413Line49|0 4|CSF3R 
PMID21605981Line169|40 44|GATA2 
PMID23531518Line46|44 49|U2AF35 
PMID22323480Line109|25 29|SF3B1 
PMID22323480Line109|179 183|SF3B1 
PMID21605981Line222|68 72|GATA2 
PMID23531518Line144|20 24|SRSF2 
PMID23531518Line144|26 30|ASXL1 
PMID23531518Line144|32 36|SF3B1 
PMID21605981Line280|21 25|GATA2 
PMID21339759Line56|76 79|EZH2 
PMID21339759Line56|94 97|EZH2 
PMID22035746Line153|61 63|BCR 
PMID22035746Line153|65 68|ABL1 
PMID21339759Line43|20 23|EZH2 
PMID21605981Line245|4 8|GATA1 
PMID21605981Line245|25 29|GATA1 
PMID21605981Line245|38 42|GATA2 
PMID21605981Line245|48 51|PU.1 
PMID21605981Line245|61 64|PU.1 
PMID25006131Line119|54 58|STAG2 
PMID25006131Line119|62 65|SMC3 
PMID25006131Line119|139 143|RAD21 
PMID21605981Line302|36 40|GATA2 
PMID21605981Line302|154 158|GATA2 
PMID21605981Line302|166 168|WT1 
PMID21605981Line302|172 175|EVI1 
PMID21605981Line221|27 31|GATA2 
PMID22210327Line41|30 33|BCOR 
PMID22210327Line41|70 75|DNMT3A 
PMID10706759Line62|145 148|PTEN 
PMID10706759Line62|150 154|MMAC1 
PMID23223431Line228|56 60|GATA2 
PMID23223431Line228|129 133|GATA2 
PMID24335498Line106|3 7|STAG2 
PMID24335498Line106|11 14|SMC3 
PMID24335498Line106|50 53|NPM1 
PMID23054646Line82|103 107|ZRSR2 
PMID23054646Line82|111 115|SRSF1 
PMID23054646Line82|175 180|U2AF35 
PMID23054646Line82|280 284|SRSF1 
PMID23054646Line82|288 292|SRSF2 
PMID23054646Line82|542 545|SF-1 
PMID23054646Line82|696 719|snRNP complex replaces SF-1 
PMID10706759Line53|50 53|PTEN 
PMID10706759Line53|55 59|MMAC1 
PMID21605981Line161|88 92|GATA2 
PMID23619563Line78|2 5|EZH2 
PMID23619563Line78|7 11|ASXL1 
PMID23619563Line78|15 19|SRSF2 
PMID23619563Line78|59 63|ASXL1 
PMID23619563Line78|65 69|SRSF2 
PMID23619563Line78|73 76|IDH1 
PMID23619563Line78|79 82|IDH2 
PMID23619563Line78|170 174|ASXL1 
PMID23619563Line78|176 179|EZH2 
PMID23619563Line78|181 185|SRSF2 
PMID23619563Line78|189 192|IDH1 
PMID22323480Line67|99 101|CD3 
PMID23223431Line69|112 122|NM_032638.4 
PMID24986690Line161|76 79|JAK2 
PMID24986690Line161|81 84|CALR 
PMID24986690Line161|89 91|MPL 
PMID22898539Line221|22 25|BMI1 
PMID22898539Line221|91 94|PRC1 
PMID22878824Line115|11 14|IDH1 
PMID22898539Line127|159 215|single-strand-selective monofunctional uracil DNA glycosylase 
PMID22898539Line127|217 221|SMUG1 
PMID23619563Line129|42 45|CD34 
PMID24335498Line136|37 41|STAG2 
PMID24335498Line136|45 49|SMC1A 
PMID23978506Line231|0 2|MPL 
PMID23896413Line51|67 71|CSF3R 
PMID23223431Line213|67 71|GATA2 
PMID23223431Line213|99 103|CXCR4 
PMID23978506Line7|68 71|JAK2 
PMID23978506Line7|75 77|MPL 
PMID25465125Line85|0 4|ASXL1 
PMID23223431Line197|13 17|GATA2 
PMID21605981Line240|4 8|GATA2 
PMID23978506Line114|56 59|JAK2 
PMID23978506Line224|39 42|JAK2 
PMID23978506Line81|8 11|JAK2 
PMID23978506Line81|117 119|BCR 
PMID23978506Line81|121 124|ABL1 
PMID10706759Line6|21 24|PTEN 
PMID10706759Line6|26 30|MMAC1 
PMID22898539Line235|34 38|ASXL1 
PMID22898539Line235|116 120|Asxl1 
PMID21714648Line106|14 17|TP53 
PMID21714648Line106|19 22|EZH2 
PMID21714648Line106|24 27|ETV6 
PMID21714648Line106|29 33|RUNX1 
PMID21714648Line106|38 42|ASXL1 
PMID21605981Line107|39 43|GATA1 
PMID21605981Line107|83 87|GATA1 
PMID21605981Line107|89 92|FOG1 
PMID21714648Line53|0 4|ASXL1 
PMID21714648Line53|6 9|EZH2 
PMID21714648Line53|11 15|KDM6A 
PMID21714648Line53|17 20|IDH1 
PMID21714648Line53|27 30|IDH2 
PMID21714648Line53|40 43|ETV6 
PMID10706759Line102|43 46|PTEN 
PMID10706759Line102|48 52|MMAC1 
PMID10706759Line92|41 44|FHIT 
PMID10706759Line92|48 53|TSG101 
PMID23978506Line241|19 22|JAK2 
PMID23978506Line241|26 28|MPL 
PMID24986690Line91|63 66|JAK2 
PMID24986690Line91|92 95|CALR 
PMID24986690Line91|129 131|MPL 
PMID23896413Line53|13 17|CSF3R 
PMID22898539Line89|11 16|DNMT3A 
PMID21714648Line126|28 31|EZH2 
PMID25465125Line124|0 4|RUNX1 
PMID21605981Line116|55 58|FOG1 
PMID21605981Line116|92 96|GATA1 
PMID24986690Line84|34 37|JAK2 
PMID24986690Line84|39 42|CALR 
PMID24986690Line84|47 49|MPL 
PMID20601954Line47|20 23|EZH2 
PMID25465125Line72|22 25|IDH1 
PMID21605981Line284|13 17|GATA2 
PMID23978506Line108|44 47|JAK2 
PMID23978506Line108|64 66|MPL 
PMID22898539Line163|54 57|IDH2 
PMID22898539Line163|102 105|IDH1 
PMID22323480Line102|3 7|SF3B1 
PMID25465125Line190|13 15|CBL 
PMID23978506Line2|52 55|JAK2 
PMID23978506Line2|59 61|MPL 
PMID21339759Line32|48 52|ASXL1 
PMID19282830Line5|0 31|Runt-related transcription factor 1 
PMID19282830Line5|33 37|RUNX1 
PMID21605981Line237|44 48|GATA3 
PMID21605981Line237|62 66|GATA1 
PMID23619563Line59|0 4|ASXL1 
PMID23619563Line59|32 35|EZH2 
PMID23619563Line59|59 62|TET2 
PMID23619563Line59|86 91|DNMT3A 
PMID23619563Line59|115 117|CBL 
PMID23619563Line59|143 147|SRSF2 
PMID23223431Line21|0 4|RUNX1 
PMID23223431Line21|8 12|CEBPA 
PMID25465125Line97|15 19|ASXL1 
PMID23619563Line111|30 34|SRSF2 
PMID23619563Line111|36 39|EZH2 
PMID23619563Line111|43 46|IDH1 
PMID23619563Line111|107 110|IDH1 
PMID21605981Line31|0 4|GATA3 
PMID22898539Line112|40 43|TET1 
PMID23896413Line52|186 190|CSF3R 
PMID23054646Line32|117 121|SF3B1 
PMID23054646Line32|123 127|SRSF2 
PMID23054646Line32|131 136|U2AF35 
PMID24335498Line10|42 45|NPM1 
PMID21605981Line190|73 78|NOTCH1 
PMID21605981Line190|109 114|NOTCH1 
PMID22898539Line214|86 89|EZH2 
PMID22035746Line63|46 49|TET2 
PMID24986690Line62|0 3|CALR 
PMID24335498Line9|70 73|NPM1 
PMID22898539Line104|63 68|DNMT3A 
PMID22898539Line104|109 114|DNMT3A 
PMID22210327Line25|0 3|BCOR 
PMID21605981Line201|0 3|EVI1 
PMID22898539Line256|25 28|JAK2 
PMID22898539Line256|32 35|JAK1 
PMID25465125Line157|48 53|SETBP1 
PMID21339759Line58|20 23|TET2 
PMID21339759Line58|25 27|CBL 
PMID21339759Line58|29 33|ASXL1 
PMID21339759Line58|51 54|EZH2 
PMID19282830Line108|16 20|RUNX1 
PMID19282830Line125|245 249|RUNX1 
PMID20601954Line28|0 3|EZH2 
PMID21605981Line133|27 31|GATA1 
PMID21605981Line133|150 152|SCL 
PMID23978506Line195|56 59|JAK2 
PMID23978506Line195|63 65|MPL 
PMID22878824Line165|2 4|KIT 
PMID22323480Line142|111 115|U2AF1 
PMID23223431Line112|79 83|GATA2 
PMID23223431Line112|118 122|GATA2 
PMID25465125Line53|0 5|DNMT3A 
PMID23978506Line182|19 21|MPL 
PMID23223431Line26|0 4|GATA2 
PMID23978506Line71|44 46|MPL 
PMID21714648Line85|73 76|JAK2 
PMID21714648Line85|78 80|CBL 
PMID21714648Line85|85 88|NRAS 
PMID21714648Line85|90 93|KRAS 
PMID21714648Line85|95 98|BRAF 
PMID22035746Line207|97 99|BCR 
PMID22035746Line207|101 104|ABL1 
PMID22035746Line207|189 191|BCR 
PMID22035746Line207|193 196|ABL1 
PMID22035746Line207|240 243|JAK2 
PMID22035746Line207|381 384|JAK2 
PMID22898539Line149|105 108|Tet2 
PMID22878824Line162|69 74|DNMT3A 
PMID24335498Line84|49 53|RAD21 
PMID24335498Line84|81 85|SMC1A 
PMID22878824Line101|84 87|FLT3 
PMID22878824Line101|109 112|FLT3 
PMID22878824Line101|135 138|FLT3 
PMID22878824Line101|162 165|FLT3 
PMID21605981Line316|52 56|GATA2 
PMID22210327Line12|44 47|BCOR 
PMID22210327Line12|51 56|BCORL1 
PMID19282830Line106|21 25|RUNX1 
PMID22035746Line51|31 34|JAK2 
PMID22035746Line51|88 101|erythropoietin 
PMID22035746Line51|103 105|EPO 
PMID25465125Line138|2 5|ETV6 
PMID25465125Line98|13 17|ASXL1 
